Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","1999","1999","t","6099472","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","1999","1999","1000 USD","699868","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2000","2000","t","98933","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2000","2000","1000 USD","12006","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2000","2000","t","4766376","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2000","2000","1000 USD","575256","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2001","2001","t","46718","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2001","2001","1000 USD","7469","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2001","2001","t","4105761","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2001","2001","1000 USD","492862","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2002","2002","t","24598","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2002","2002","1000 USD","3437","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2002","2002","t","4273806","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2002","2002","1000 USD","519028","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2003","2003","t","27016","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2003","2003","1000 USD","4135","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2003","2003","t","4944000","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2003","2003","1000 USD","773160","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2004","2004","t","23565","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2004","2004","1000 USD","3639","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2004","2004","t","4893343","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2004","2004","1000 USD","800251","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2005","2005","t","60763","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2005","2005","1000 USD","8934","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2005","2005","t","5394305","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2005","2005","1000 USD","807885","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2006","2006","t","37870","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2006","2006","1000 USD","7179","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2006","2006","t","4262027","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2006","2006","1000 USD","654929","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2007","2007","t","56088","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2007","2007","1000 USD","18142","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2007","2007","t","5101026","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2007","2007","1000 USD","1186808","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2008","2008","t","66549","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2008","2008","1000 USD","21582","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2008","2008","t","5024686","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2008","2008","1000 USD","1497633","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2009","2009","t","26119","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2009","2009","1000 USD","5774","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2009","2009","t","4719929","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2009","2009","1000 USD","1045220","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2010","2010","t","76673","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2010","2010","1000 USD","17931","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2010","2010","t","5706781","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2010","2010","1000 USD","1026753","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2011","2011","t","154927","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2011","2011","1000 USD","45933","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2011","2011","t","4284000","I","Imputed value",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2011","2011","1000 USD","1372501","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2012","2012","t","96518","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2012","2012","1000 USD","29287","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2012","2012","t","4657446","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2012","2012","1000 USD","1327762","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2013","2013","t","34755","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2013","2013","1000 USD","10649","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2013","2013","t","6465970","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2013","2013","1000 USD","1867534","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2014","2014","t","53378.17","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2014","2014","1000 USD","14822","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2014","2014","t","5121829.76","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2014","2014","1000 USD","1230080","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2015","2015","t","63290.26","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2015","2015","1000 USD","15865","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2015","2015","t","7534687.15","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2015","2015","1000 USD","1565541","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2016","2016","t","60982.12","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2016","2016","1000 USD","13796","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2016","2016","t","5868272.86","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2016","2016","1000 USD","1064941","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2017","2017","t","111310.6","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2017","2017","1000 USD","26230","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2017","2017","t","5654969.65","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2017","2017","1000 USD","1006407","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2018","2018","t","73510.54","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2018","2018","1000 USD","23020","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2018","2018","t","6196232.36","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2018","2018","1000 USD","1325960","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2019","2019","t","93466.19","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2019","2019","1000 USD","22725","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2019","2019","t","7171937.42","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2019","2019","1000 USD","1494534","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2020","2020","t","66450.06","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2020","2020","1000 USD","16873","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","0115","Barley","2020","2020","t","6778157.87","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","0115","Barley","2020","2020","1000 USD","1359114","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","0115","Barley","2021","2021","t","69692.49","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import Value","0115","Barley","2021","2021","1000 USD","20436","A","Official figure",""
